title,platform,metascore,userscore,genre,date
Streets of Rage 4: Mr. X Nightmare,PC,88.0,70.8,action,2021-07-15
Sniper Elite VR,PC,67.0,71.0,action,2021-07-08
Sniper Elite VR,PlayStation 4,75.0,70.8,action,2021-07-08
Boomerang X,PC,81.0,66.0,action,2021-07-08
Boomerang X,Switch,78.0,63.0,action,2021-07-08
Space Jam: A New Legacy - The Game,Xbox One,51.0,70.8,action,2021-07-01
Space Jam: A New Legacy - The Game,Xbox Series X,55.0,70.8,action,2021-07-01
Curved Space,PC,60.0,70.8,action,2021-06-29
Curved Space,PlayStation 5,56.0,70.8,action,2021-06-29
Curved Space,Xbox Series X,75.0,70.8,action,2021-06-29
Cyber Hook,Switch,75.0,70.8,action,2021-06-24
Alex Kidd in Miracle World DX,PC,67.0,70.8,action,2021-06-22
Alex Kidd in Miracle World DX,PlayStation 4,62.0,64.0,action,2021-06-22
Alex Kidd in Miracle World DX,Switch,64.0,70.0,action,2021-06-22
Alex Kidd in Miracle World DX,PlayStation 5,67.0,70.8,action,2021-06-22
LEGO Builder's Journey,PC,79.0,68.0,action,2021-06-22
Super Magbot,Switch,73.0,70.8,action,2021-06-22
LEGO Builder's Journey,Switch,76.0,70.8,action,2021-06-22
Metro Exodus: Complete Edition,Xbox Series X,81.0,70.0,action,2021-06-18
Metro Exodus: Complete Edition,PlayStation 5,81.0,73.0,action,2021-06-18
Hyrule Warriors: Age of Calamity - Pulse of the Ancients,Switch,67.0,70.8,action,2021-06-18
Red Solstice 2: Survivors,PC,64.0,70.8,action,2021-06-17
DOOM Eternal: The Ancient Gods Part One,Switch,79.0,70.8,action,2021-06-15
Mushihimesama,Switch,84.0,70.8,action,2021-06-15
Ratchet & Clank: Rift Apart,PlayStation 5,88.0,70.8,action,2021-06-11
Guilty Gear -Strive-,PC,85.0,70.8,action,2021-06-11
A Rogue Escape,PC,73.0,70.8,action,2021-06-10
Chivalry II,PC,82.0,62.0,action,2021-06-08
Chivalry II,PlayStation 4,66.0,60.0,action,2021-06-08
Chivalry II,Xbox Series X,81.0,67.0,action,2021-06-08
Guilty Gear -Strive-,PlayStation 4,84.0,70.8,action,2021-06-08
Guilty Gear -Strive-,PlayStation 5,87.0,70.8,action,2021-06-08
Mighty Goose,Switch,74.0,72.0,action,2021-06-05
Mighty Goose,PC,71.0,70.8,action,2021-06-05
Sniper Ghost Warrior Contracts 2,PlayStation 4,68.0,70.0,action,2021-06-04
Sniper Ghost Warrior Contracts 2,PC,72.0,73.0,action,2021-06-04
Sniper Ghost Warrior Contracts 2,Xbox Series X,74.0,70.8,action,2021-06-04
Sunblaze,PC,78.0,70.8,action,2021-06-03
Ghosts 'n Goblins Resurrection,PlayStation 4,68.0,68.0,action,2021-06-01
Ghosts 'n Goblins Resurrection,Xbox One,84.0,70.8,action,2021-06-01
